gene_id,score
Os06g0692600,99.99867
Os02g0215700,99.998665
Os04g0174200,99.998665
Os06g0658400,99.998665
Os07g0516900,99.998665
Os07g0692500,99.998665
Os07g0568200,99.998665
Os02g0155400,99.998665
Os02g0465000,99.99864
Os08g0325400,99.99864
Os02g0179300,99.99864
Os03g0680100,99.998634
Os08g0541300,99.998634
Os07g0492100,99.998634
Os02g0156633,99.998634
Os04g0119800,99.99863
Os04g0648200,99.99862
Os02g0276400,99.99862
Os06g0521000,99.99862
Os01g0132100,99.99862
Os06g0673500,99.99862
Os07g0158300,99.998604
Os11g0166800,99.9986
Os06g0140200,99.9986
Os02g0155700,99.9986
Os11g0291500,99.9986
Os02g0156200,99.9986
Os04g0434300,99.9986
Os03g0332500,99.99859
Os08g0538000,99.99859
Os01g0658500,99.99859
Os01g0141300,99.998566
Os04g0414300,99.998566
Os03g0724300,99.998566
Os02g0161900,99.998566
Os04g0658300,99.998566
Os05g0491400,99.99856
Os01g0141100,99.99856
Os05g0355800,99.99856
Os06g0220300,99.99856
Os04g0502800,99.99856
Os08g0254300,99.99856
Os06g0169600,99.99854
Os08g0485000,99.99854
Os01g0653800,99.99854
Os05g0480000,99.99854
Os04g0122200,99.99854
Os01g0502800,99.998535
Os03g0346900,99.998535
Os06g0506600,99.99852
Os01g0163000,99.99852
Os11g0569100,99.99851
Os07g0633400,99.99851
Os01g0966400,99.998505
Os08g0135300,99.998505
Os05g0522600,99.998505
Os01g0150750,99.998505
Os01g0873500,99.998505
Os10g0155800,99.998505
Os07g0543700,99.998505
Os01g0772150,99.99849
Os02g0744950,99.99849
Os07g0686400,99.99849
Os05g0153132,99.99847
Os02g0567900,99.99847
Os05g0305000,99.99847
Os07g0187900,99.99847
Os07g0583500,99.99846
Os02g0159900,99.99846
Os02g0153500,99.99846
Os01g0614500,99.99846
Os06g0681400,99.99846
Os06g0597250,99.99846
Os03g0438200,99.99846
Os04g0398300,99.99846
Os02g0122500,99.99844
Os02g0290900,99.99844
Os09g0483200,99.99844
Os06g0320700,99.99843
Os09g0131200,99.99843
Os10g0491500,99.99843
Os05g0100500,99.99843
Os07g0492200,99.99843
Os01g0927000,99.99843
Os01g0109700,99.99843
Os11g0278200,99.99843
Os08g0339750,99.99843
Os10g0374200,99.99843
Os04g0416400,99.99843
Os12g0212366,99.99843
Os05g0550100,99.99841
Os02g0721100,99.99841
Os01g0125900,99.99841
Os04g0580400,99.99841
Os04g0672600,99.998405
Os11g0297300,99.998405
Os11g0264500,99.998405
Os05g0433800,99.998405
Os06g0209400,99.998405
Os07g0565300,99.998405
Os02g0128400,99.998405
Os01g0109750,99.998405
Os09g0314500,99.998405
Os04g0480500,99.998405
Os05g0483801,99.998405
Os10g0474300,99.998405
Os02g0635950,99.998405
Os02g0157100,99.998405
Os05g0588700,99.99838
Os01g0327900,99.99838
Os12g0276000,99.99838
Os01g0765200,99.99838
Os06g0150800,99.99838
Os07g0229500,99.99838
Os03g0335900,99.99838
Os09g0481650,99.99838
Os07g0602600,99.99838
Os10g0155700,99.998375
Os01g0191300,99.998375
Os10g0349600,99.99837
Os03g0322000,99.99837
Os09g0549500,99.99837
Os09g0106200,99.99836
Os11g0172350,99.99836
